Time,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count
13,0.0546448087431694,10,0.034574468085106384,13,0.05084745762711865,6,0.062111801242236024,10,0.046511627906976744,10,0.05089820359281437,17,0.024509803921568627,5,0.05150214592274678,12,0.06451612903225806,10,0.05426356589147287,7,0.049586776859504134,6,0.045627376425855515,12,0.030042918454935622,7,0.04878048780487805,6,0.04428044280442804,12,0.02717391304347826,5,0.05319148936170213,10,0.03125,7,0.055944055944055944,8,0.050505050505050504,5,0.025157232704402517,4,0.07142857142857142,9,0.058823529411764705,3
14,0.04371584699453552,8,0.04521276595744681,17,0.03389830508474576,4,0.049689440993788817,8,0.046511627906976744,10,0.0658682634730539,22,0.05392156862745098,11,0.02575107296137339,6,0.04516129032258064,7,0.023255813953488372,3,0.0743801652892562,9,0.03802281368821293,10,0.06866952789699571,16,0.06504065040650407,8,0.02952029520295203,8,0.02717391304347826,5,0.06914893617021277,13,0.05803571428571429,13,0.027972027972027972,4,0.08080808080808081,8,0.05660377358490566,9,0.031746031746031744,4,0.0196078431372549,1
15,0.03825136612021858,7,0.05053191489361702,19,0.03389830508474576,4,0.06832298136645963,11,0.037209302325581395,8,0.0688622754491018,23,0.05392156862745098,11,0.05150214592274678,12,0.04516129032258064,7,0.10852713178294573,14,0.04132231404958678,5,0.06463878326996197,17,0.03862660944206009,9,0.056910569105691054,7,0.04797047970479705,13,0.06521739130434782,12,0.05319148936170213,10,0.049107142857142856,11,0.07692307692307693,11,0.050505050505050504,5,0.025157232704402517,4,0.031746031746031744,4,0.0196078431372549,1
16,0.03825136612021858,7,0.061170212765957445,23,0.01694915254237288,2,0.031055900621118012,5,0.046511627906976744,10,0.0718562874251497,24,0.04411764705882353,9,0.04721030042918455,11,0.07096774193548387,11,0.046511627906976744,6,0.05785123966942149,7,0.026615969581749048,7,0.030042918454935622,7,0.032520325203252036,4,0.05166051660516605,14,0.05434782608695652,10,0.05319148936170213,10,0.04017857142857143,9,0.03496503496503497,5,0.04040404040404041,4,0.050314465408805034,8,0.06349206349206349,8,0.0,0
17,0.060109289617486336,11,0.06914893617021277,26,0.03389830508474576,4,0.037267080745341616,6,0.06511627906976744,14,0.041916167664670656,14,0.04411764705882353,9,0.017167381974248927,4,0.05161290322580645,8,0.023255813953488372,3,0.024793388429752067,3,0.053231939163498096,14,0.02575107296137339,6,0.04878048780487805,6,0.07011070110701106,19,0.059782608695652176,11,0.03723404255319149,7,0.04017857142857143,9,0.055944055944055944,8,0.030303030303030304,3,0.050314465408805034,8,0.023809523809523808,3,0.11764705882352941,6
18,0.08196721311475409,15,0.05053191489361702,19,0.07627118644067797,9,0.037267080745341616,6,0.05116279069767442,11,0.03592814371257485,12,0.05392156862745098,11,0.05150214592274678,12,0.05161290322580645,8,0.05426356589147287,7,0.04132231404958678,5,0.057034220532319393,15,0.034334763948497854,8,0.024390243902439025,3,0.04797047970479705,13,0.08152173913043478,15,0.05851063829787234,11,0.05803571428571429,13,0.09090909090909091,13,0.04040404040404041,4,0.05660377358490566,9,0.047619047619047616,6,0.11764705882352941,6
19,0.09289617486338798,17,0.06648936170212766,25,0.06779661016949153,8,0.07453416149068323,12,0.06976744186046512,15,0.05389221556886228,18,0.024509803921568627,5,0.060085836909871244,14,0.07096774193548387,11,0.06201550387596899,8,0.049586776859504134,6,0.06463878326996197,17,0.05150214592274678,12,0.07317073170731707,9,0.05904059040590406,16,0.07608695652173914,14,0.03723404255319149,7,0.05803571428571429,13,0.06293706293706294,9,0.050505050505050504,5,0.05660377358490566,9,0.05555555555555555,7,0.09803921568627451,5
20,0.060109289617486336,11,0.08776595744680851,33,0.1016949152542373,12,0.10559006211180125,17,0.09302325581395349,20,0.06287425149700598,21,0.04411764705882353,9,0.0944206008583691,22,0.025806451612903226,4,0.06201550387596899,8,0.08264462809917356,10,0.06463878326996197,17,0.055793991416309016,13,0.07317073170731707,9,0.08118081180811808,22,0.05434782608695652,10,0.031914893617021274,6,0.049107142857142856,11,0.03496503496503497,5,0.0707070707070707,7,0.05660377358490566,9,0.03968253968253968,5,0.0196078431372549,1
21,0.0546448087431694,10,0.07446808510638298,28,0.11864406779661017,14,0.07453416149068323,12,0.06511627906976744,14,0.08083832335329341,27,0.058823529411764705,12,0.034334763948497854,8,0.03225806451612903,5,0.07751937984496124,10,0.06611570247933884,8,0.09505703422053231,25,0.060085836909871244,14,0.08130081300813008,10,0.05166051660516605,14,0.07065217391304347,13,0.07446808510638298,14,0.05357142857142857,12,0.055944055944055944,8,0.050505050505050504,5,0.0880503144654088,14,0.07142857142857142,9,0.058823529411764705,3
22,0.060109289617486336,11,0.06648936170212766,25,0.05084745762711865,6,0.09316770186335403,15,0.05581395348837209,12,0.0748502994011976,25,0.0784313725490196,16,0.06866952789699571,16,0.08387096774193549,13,0.12403100775193798,16,0.09090909090909091,11,0.07604562737642585,20,0.0944206008583691,22,0.07317073170731707,9,0.07380073800738007,20,0.059782608695652176,11,0.09574468085106383,18,0.08035714285714286,18,0.04195804195804196,6,0.0707070707070707,7,0.0880503144654088,14,0.05555555555555555,7,0.0784313725490196,4
23,0.07103825136612021,13,0.06648936170212766,25,0.059322033898305086,7,0.08695652173913043,14,0.046511627906976744,10,0.04491017964071856,15,0.07352941176470588,15,0.0815450643776824,19,0.05161290322580645,8,0.03875968992248062,5,0.09090909090909091,11,0.06463878326996197,17,0.060085836909871244,14,0.06504065040650407,8,0.07749077490774908,21,0.06521739130434782,12,0.0425531914893617,8,0.07589285714285714,17,0.03496503496503497,5,0.06060606060606061,6,0.025157232704402517,4,0.07142857142857142,9,0.058823529411764705,3
